class,x1,y1,v1,x2,y2,v2,x3,y3,v3,x4,y4,v4,x5,y5,v5,x6,y6,v6,x7,y7,v7,x8,y8,v8,x9,y9,v9,x10,y10,v10,x11,y11,v11,x12,y12,v12,x13,y13,v13,x14,y14,v14,x15,y15,v15,x16,y16,v16,x17,y17,v17
1.0,0.7948578000068665,0.21716046333312988,0.9928841590881348,0.807365357875824,0.2061261534690857,0.9926153421401978,0.7911280393600464,0.19820904731750488,0.9291213154792786,0.827147901058197,0.22443276643753052,0.9733476638793945,0.7830039262771606,0.20241491496562958,0.30682259798049927,0.8284434676170349,0.33239832520484924,0.9929296970367432,0.7670081257820129,0.2832614481449127,0.9879676103591919,0.8260332942008972,0.4398544430732727,0.9750772714614868,0.7370973229408264,0.3579987585544586,0.9394221305847168,0.7808217406272888,0.408832311630249,0.9746108651161194,0.7402133345603943,0.39356672763824463,0.9208354353904724,0.7615850567817688,0.4857984781265259,0.9965592622756958,0.715122401714325,0.4335741698741913,0.9950544834136963,0.7272425889968872,0.6112138032913208,0.9948760271072388,0.6438185572624207,0.5012778639793396,0.9908879399299622,0.7103168368339539,0.7545837759971619,0.9699758291244507,0.5771579146385193,0.5628665685653687,0.9700459837913513
1.0,0.7292006611824036,0.1765013486146927,0.9950768947601318,0.7401020526885986,0.1656094491481781,0.9943010210990906,0.7222514748573303,0.16108889877796173,0.9763916730880737,0.7536999583244324,0.18074485659599304,0.9565370082855225,0.7102711796760559,0.1694272756576538,0.6013431549072266,0.7550520300865173,0.2674868404865265,0.9984666109085083,0.6853606104850769,0.24779778718948364,0.9981982111930847,0.7708536982536316,0.36722564697265625,0.9924213886260986,0.6549774408340454,0.3316616415977478,0.9876655340194702,0.7258931398391724,0.3735249936580658,0.9929966926574707,0.6957313418388367,0.3393274247646332,0.9876184463500977,0.7202867865562439,0.45828163623809814,0.9995765686035156,0.6740188002586365,0.4466552138328552,0.9994945526123047,0.7204754948616028,0.5997127294540405,0.9993903636932373,0.6597487330436707,0.5743676424026489,0.9991541504859924,0.7185888290405273,0.7374395728111267,0.9959261417388916,0.6491488814353943,0.6928218007087708,0.9951443076133728
1.0,0.7227587103843689,0.17353956401348114,0.9945935010910034,0.7333508729934692,0.16201558709144592,0.9937360286712646,0.7150866389274597,0.15857094526290894,0.9780979156494141,0.7466490864753723,0.1769120991230011,0.9547094106674194,0.7029526829719543,0.1685405820608139,0.6725233197212219,0.7522549033164978,0.26485779881477356,0.9985119104385376,0.6787505149841309,0.24819403886795044,0.9983432292938232,0.7694195508956909,0.36304762959480286,0.9919756054878235,0.6525186896324158,0.3331588804721832,0.9884301424026489,0.7231013178825378,0.365335077047348,0.9920769929885864,0.6934544444084167,0.3348816931247711,0.9876322746276855,0.7228367328643799,0.4511256814002991,0.9995343685150146,0.6743898987770081,0.44142067432403564,0.9994703531265259,0.7211025357246399,0.5906729698181152,0.9992337226867676,0.6612014770507812,0.5645484924316406,0.9990140199661255,0.7192274332046509,0.7188286781311035,0.994617223739624,0.6530799269676208,0.6877840161323547,0.9939203262329102
1.0,0.7167494893074036,0.17099474370479584,0.9942286014556885,0.7271827459335327,0.1593758910894394,0.9923412799835205,0.708771824836731,0.15568289160728455,0.9818706512451172,0.7396610379219055,0.17260928452014923,0.938778281211853,0.6958059072494507,0.16420729458332062,0.7599283456802368,0.7474388480186462,0.2569330632686615,0.9985650777816772,0.6721616983413696,0.2471519559621811,0.9986526370048523,0.7675565481185913,0.3540365397930145,0.9912939667701721,0.6490678787231445,0.3397996723651886,0.9909175038337708,0.7233675718307495,0.36002349853515625,0.9916085004806519,0.6916207671165466,0.330820232629776,0.9902958869934082,0.72489994764328,0.4455720782279968,0.999576210975647,0.675470769405365,0.44053709506988525,0.9995701909065247,0.7213950753211975,0.5803977251052856,0.9991433620452881,0.6610090136528015,0.5676570534706116,0.999042272567749,0.7144988179206848,0.7041391134262085,0.9936930537223816,0.6498287320137024,0.6912955641746521,0.9933876991271973
1.0,0.7078366279602051,0.1662413775920868,0.9953604340553284,0.7185277342796326,0.15541179478168488,0.9932631254196167,0.7003278136253357,0.15050770342350006,0.9837988615036011,0.7318361401557922,0.17013393342494965,0.936457097530365,0.6881327033042908,0.15880191326141357,0.751073956489563,0.7442140579223633,0.2546413540840149,0.9985221028327942,0.6667277216911316,0.24449950456619263,0.9988259077072144,0.7680851817131042,0.34695520997047424,0.9900054931640625,0.6471277475357056,0.33916187286376953,0.9927460551261902,0.7312553524971008,0.3549574911594391,0.9910580515861511,0.688724935054779,0.3286547362804413,0.9918168187141418,0.725089430809021,0.4394959509372711,0.9996300339698792,0.6739263534545898,0.4329242408275604,0.9996618032455444,0.7202492952346802,0.5749457478523254,0.9993329048156738,0.6589666604995728,0.5644970536231995,0.9994046688079834,0.7125135660171509,0.6847537159919739,0.9950579404830933,0.6479962468147278,0.684184730052948,0.9956868886947632
1.0,0.7018082141876221,0.16607390344142914,0.9939878582954407,0.7121891379356384,0.15461158752441406,0.9934158325195312,0.6941498517990112,0.15129640698432922,0.9777334928512573,0.7259053587913513,0.16846559941768646,0.9452593922615051,0.6829386353492737,0.16112162172794342,0.6625368595123291,0.740034818649292,0.2521425187587738,0.9981784224510193,0.6633033156394958,0.2441038340330124,0.997353732585907,0.7648477554321289,0.34347137808799744,0.9908517599105835,0.6453125476837158,0.34069257974624634,0.9827558398246765,0.7276989817619324,0.3503074645996094,0.9898518323898315,0.6834763884544373,0.3281261920928955,0.9815298318862915,0.7243160605430603,0.4392769932746887,0.9990816116333008,0.6738322973251343,0.43554145097732544,0.9988701343536377,0.7240461707115173,0.5719889402389526,0.9983258843421936,0.6586739420890808,0.5629749894142151,0.9978364706039429,0.7125717997550964,0.658290445804596,0.9893653392791748,0.6504678130149841,0.6754571199417114,0.9874914288520813
1.0,0.696564793586731,0.16701728105545044,0.9936719536781311,0.7065514326095581,0.15588921308517456,0.9933761358261108,0.6887931227684021,0.15304073691368103,0.9775607585906982,0.7197973728179932,0.16966629028320312,0.9452577829360962,0.6776992678642273,0.16368569433689117,0.6736046075820923,0.7353951930999756,0.2515440285205841,0.9982050657272339,0.6589364409446716,0.2434418648481369,0.9968218803405762,0.7637759447097778,0.33906903862953186,0.9910598397254944,0.6427255272865295,0.3392479121685028,0.9787929654121399,0.7239512205123901,0.34313228726387024,0.9894465208053589,0.6825973391532898,0.32405778765678406,0.9777557849884033,0.7244348526000977,0.4409118890762329,0.9988501071929932,0.6738176345825195,0.438780814409256,0.9984569549560547,0.728541374206543,0.5733556151390076,0.9976285696029663,0.658964216709137,0.5662140250205994,0.9968133568763733,0.7151355147361755,0.634279727935791,0.9858243465423584,0.6515846252441406,0.6756585836410522,0.9826639890670776
1.0,0.6925105452537537,0.16667836904525757,0.9949948787689209,0.7021292448043823,0.1549430936574936,0.9922598600387573,0.6838297843933105,0.1521608531475067,0.9870686531066895,0.7140567302703857,0.167228102684021,0.9244755506515503,0.671425998210907,0.1614859700202942,0.8443264961242676,0.7298987507820129,0.24870826303958893,0.9989087581634521,0.654179036617279,0.24221272766590118,0.9987150430679321,0.7616547346115112,0.33481353521347046,0.9918431043624878,0.6405478119850159,0.34492653608322144,0.9909743070602417,0.7158825397491455,0.342859148979187,0.9918007850646973,0.6809489727020264,0.31696149706840515,0.9916675090789795,0.7226623892784119,0.43389326333999634,0.9993099570274353,0.6722928881645203,0.4351024329662323,0.9992773532867432,0.7340683341026306,0.5618687868118286,0.9981845617294312,0.6604222655296326,0.5601137280464172,0.9983221292495728,0.7109882235527039,0.6047885417938232,0.9883865118026733,0.6519821882247925,0.6798741817474365,0.9889351725578308
1.0,0.688635528087616,0.16905416548252106,0.9943462610244751,0.6974738240242004,0.1576416939496994,0.9891762733459473,0.680341899394989,0.15436436235904694,0.9879227876663208,0.7083937525749207,0.16918885707855225,0.8733183145523071,0.6670770049095154,0.16231557726860046,0.8671198487281799,0.7242507934570312,0.24768663942813873,0.99773108959198,0.6505064368247986,0.24040739238262177,0.9982048273086548,0.7591720819473267,0.33318448066711426,0.9828773736953735,0.6392313241958618,0.3417831361293793,0.9905937910079956,0.7080411314964294,0.33940109610557556,0.9826056361198425,0.6814672350883484,0.31483277678489685,0.9889902472496033,0.7229161262512207,0.43104106187820435,0.998116135597229,0.6727381944656372,0.429612398147583,0.9983029961585999,0.7397506237030029,0.5651165843009949,0.9945107102394104,0.658291220664978,0.5612906813621521,0.9961596131324768,0.7046586275100708,0.5997573733329773,0.9679079055786133,0.646987795829773,0.6774101257324219,0.975543737411499
1.0,0.6848260164260864,0.17225180566310883,0.9948745369911194,0.6941208243370056,0.16009199619293213,0.9900315999984741,0.6760841012001038,0.15661942958831787,0.9890427589416504,0.7046169638633728,0.17116479575634003,0.8822075128555298,0.6626845598220825,0.16430583596229553,0.8882381319999695,0.7197608351707458,0.24879947304725647,0.9988714456558228,0.646004855632782,0.24528631567955017,0.9984757304191589,0.7575168609619141,0.3277580440044403,0.992436408996582,0.6321611404418945,0.34807467460632324,0.9907177686691284,0.7056618332862854,0.33634236454963684,0.9918805360794067,0.6784263253211975,0.3124571144580841,0.9915903806686401,0.7195929884910583,0.42921704053878784,0.9989806413650513,0.6710535287857056,0.43425625562667847,0.9988789558410645,0.7410932183265686,0.5555385947227478,0.9976033568382263,0.6590898036956787,0.5644588470458984,0.997791051864624,0.7050042748451233,0.5785616040229797,0.9852584600448608,0.6503880023956299,0.6793840527534485,0.9855099320411682
