class,a1,a2,a3,a4,a5,a6,a7,a8
1.0,155.25813848992877,37.705697932500215,158.2043465199315,151.13344484851586,178.91262587203093,160.63940830437224,177.55629466656947,178.3145031178671
1.0,126.70007208327257,2.0347541026258966,179.55151588639836,137.95133920945418,158.75733056669182,162.83015997076512,153.10949637396408,158.10236604831186
1.0,146.972323399246,37.38944364558287,157.47300583754398,159.7331852830574,177.954164838474,161.45562012866378,177.41000927290037,179.9624019767516
1.0,108.00861981520313,36.84785372785642,169.88453475955666,135.6588451077879,171.82708415749332,167.55530234055664,174.19954285099396,177.19327806293103
1.0,0.0,6.596898271663333,39.69739174864923,135.0761693894356,155.52758445719715,159.54338437862066,145.9821230936477,145.89233040714024
1.0,123.05317751759617,16.23107676249081,144.05355885328228,114.30172155651277,168.06507647348943,175.92181426585228,154.38486347240044,155.31854211698175
1.0,93.00355856694631,33.86528521058815,162.370596232125,137.44612895315808,179.64650106761596,160.05265730315838,175.186022359791,177.3879674808737
1.0,102.55254061570673,22.972229211515188,175.5197356720404,145.28840976810483,161.94280779040744,175.07517183531536,159.2368762268093,161.35995604160158
1.0,133.43677713746968,15.056910262695547,138.29248297563115,110.41246979875584,157.0434941569428,165.09713074242876,143.6812787342561,143.20721244535227
1.0,91.62406876236656,16.455339629609398,174.8944334493072,121.7997228723988,167.57620982389327,174.17360955939003,159.5574705024382,159.12864769044106
1.0,0.0,7.544519267132086,37.655278168870126,126.81117582511149,166.69963685059278,164.30761488043055,148.68657899555217,146.9413217075645
1.0,98.59363399823997,12.069582869112153,175.12139570548263,157.3694242270479,168.95937192947034,173.6423889067968,164.5919727108602,163.14968320901613
1.0,0.0,28.768384176615655,38.388830857705464,134.64627391940203,175.6950990347671,174.8548300596715,159.30929585807493,156.83872933553926
1.0,0.0,25.939253840767453,38.51255218302706,149.00268062822465,178.17474237524576,165.51252671092408,161.18750242381492,158.10213722535656
1.0,104.03101613618955,18.147403910591027,153.0650012848885,155.81430890854776,179.30401713431573,165.51915620862837,163.11635010352606,159.35100464907276
1.0,0.0,20.6402101822495,38.90926883812586,148.72217310727405,179.26544242631485,167.94638455973472,164.36146904569168,160.62315799460427
1.0,90.85804058489305,25.76977680656876,154.57414077241697,130.12478300369838,155.48903473727074,153.34984447577935,148.87763633791445,146.63619914473225
1.0,0.0,15.419540071979714,39.07458163341633,149.48999057107454,177.95852360694116,167.6643525747337,166.0923460112527,161.57588748106772
1.0,0.0,0.7508687199739842,39.0928405265216,125.47399336456678,134.5455729165682,141.20434342072733,136.9499249537893,136.2450841548942
1.0,0.0,15.104789391045642,38.49581128483903,140.9869567258758,173.10890922151745,166.74459459463216,171.4656468256153,164.15233174050752
1.0,97.24341597138664,7.835625273965104,158.86733309423897,115.95329333376557,179.36813176498487,167.2644657708404,172.18532325476485,165.62455136044565
1.0,0.0,17.756069733906486,38.41740189678119,114.93705521559943,172.79548586052385,170.9501173492813,172.05240317387214,165.0946954767426
1.0,96.82569435096923,21.03420054203245,135.21231061600844,94.77882036346682,169.115849838279,171.92645930192924,169.39288915349314,166.24930643268547
1.0,100.10419087139053,22.951173888505014,130.0373340863111,103.30683027883794,163.0697460944492,170.9080866474799,173.72663228754183,163.69727394678338
1.0,101.45273265743788,23.51133835061661,151.3722015656839,117.24735386624886,168.0044021959313,168.72281842382702,161.63445897634676,154.7123905577646
1.0,91.30593397862526,18.68459643799901,161.97916768918452,113.58030810701683,165.40331863421028,173.11433287038372,172.1600032987887,165.73412328923519
1.0,86.0250459839936,23.597509710695114,156.75654659202218,115.93239163008536,164.47051918578995,170.30284177528284,162.47398965444268,154.41242532708114
1.0,85.53651475732016,21.019120868033063,160.78834369074798,114.12901208291433,162.8329411671217,175.6029103379766,170.9603289280793,174.1947516328353
1.0,137.07926494430768,13.469842604683635,111.67630652510876,84.11506408147757,150.442259557803,149.78913713542127,162.09573940198982,177.28912049352206
1.0,120.91648965854677,18.68313732391402,69.68442134730405,71.40070345554608,176.91113141925123,146.35129418195245,164.2038347440954,165.5113316346551
1.0,71.05368793489038,3.330404789851473,94.58689121908738,81.24813976770122,148.453127319822,146.23026623295104,164.88347838674483,177.07966852091405
1.0,115.72659678394089,5.145810422448494,81.89933970228509,65.52469439404409,178.98219943065797,144.65525698800613,165.52786091599447,169.90303101294538
1.0,86.13779455248061,1.6866050124107737,49.70071526364668,83.69706229479141,146.24964763380493,144.2353157373486,157.36548709513056,169.14504565027548
1.0,118.84127224378537,12.618976434285022,95.8952107350157,90.56682974528894,179.38948963260208,144.79449464308004,166.20286973518753,176.38461598437087
1.0,100.58543466279076,13.95081527132204,99.75290361640583,89.93668516923572,150.76220314992082,147.2823273552876,160.7113543443716,172.59147114061858
1.0,121.01092320555865,19.19471056474748,107.52448354524047,115.84365556327802,176.56570178751767,140.7531633318144,161.0803737245076,171.2856383266558
1.0,105.14127775889455,12.661162174525359,147.70658116542333,87.76177592473202,149.9809468332149,147.12235182145042,163.78257931682677,168.59075915841655
1.0,125.0781397466493,13.85405264945108,119.44474834110402,119.39509176118747,174.62460200491557,137.02540637516603,159.85386081708768,169.25790382218986
1.0,91.33207967751605,14.550389477686576,166.24193743765525,91.53363244813283,143.80008091536524,145.32259889453258,163.2258758232619,160.9370333821862
1.0,125.26565361047108,8.495144516431933,134.8074567733829,128.20285129676958,172.74866746960816,135.50178761547443,163.4059837429435,165.95288510554857
1.0,93.0716777977534,30.649398243155712,157.43920176303868,78.0664265347923,141.7449748601645,143.12133400289872,156.8480098000726,164.99765050683095
1.0,130.54470910258937,10.46115707159368,138.49082419553574,137.28298803917264,171.80875173032433,130.93633086965013,163.0107001677204,156.98394742418384
1.0,100.29689889165637,46.39177010678916,159.75761093157402,72.19887780667278,157.07091761390976,124.53578626610594,179.65577521826773,142.0478429489994
1.0,134.10152972028848,13.647481576774386,149.01484788925535,150.90333525518068,171.10384128297994,128.275623549023,164.3457452181252,158.0733298020595
1.0,123.73585065474317,62.11537284204735,152.10057536031022,168.25575481845507,170.77869345001176,71.26521419792238,171.29808540603355,102.98682782088144
1.0,132.02727355871858,23.601747730045215,158.00170919826235,167.6629862422598,161.65985247777076,118.84575174316609,163.81139874984555,161.09516066756117
1.0,0.0,18.79926156758309,40.44564733203212,177.68052221638368,104.0183330043846,89.66769193902583,74.73804675557597,87.3273655510613
1.0,125.0104567404542,25.854720500458672,163.41896417844575,166.95979621627228,157.44430851193272,116.13581784465964,162.3509316410114,159.45901752335388
1.0,0.0,65.6027081818829,40.00616637513771,171.8472682222098,177.82631951842322,135.87967047517108,169.3885825348711,152.96519101632427
1.0,119.79226097346589,38.8924093260885,143.4561809111114,162.5219962604488,151.58129192546673,107.31718901246101,155.37222035742366,150.55409652642916
