class,a1,a2,a3,a4,a5,a6,a7,a8
0.0,0.0,8.239219130467573,32.69357912620149,165.51137019445406,178.32536197041537,175.95804717936474,173.9590647846648,171.49850052654307
0.0,0.0,9.09014783185557,32.96112188082741,153.68611731654923,177.72252275194145,178.4996981078436,171.37279029699826,173.78729637692922
0.0,0.0,2.371415630530261,32.85906035206826,157.8918342569066,174.13191159945612,177.89465683001995,167.72006323920908,170.8713509820222
0.0,0.0,7.400368587801647,32.44862652445157,172.9586870813754,173.69089873885153,175.52608150485364,168.01581672570552,171.20395948462186
0.0,132.82352963095065,9.118575636380475,45.31693519475145,172.81016383088078,173.15271195398486,175.10058946813635,167.91318934487683,171.39226863137208
0.0,134.42060230375768,9.35528262687304,43.81864830648449,172.26139259199667,172.36264674732644,174.3956470623274,168.0893617338869,171.49898916724868
0.0,136.5227609060951,10.605298054427443,41.77676406893589,172.972064856958,171.78409193498985,173.76675236630408,169.07345251458742,171.77467717649773
0.0,0.0,11.400642413471342,32.273158987107706,172.6335877774999,171.87602702073264,173.10506946638046,168.25647487777653,170.28171551257165
0.0,139.5326085158747,9.885229862885247,38.85120488518915,172.9735328396031,173.49855110763139,171.82636122982265,173.69360193256085,172.36072018547574
0.0,0.0,5.667835221399027,32.08267068198271,166.9934703687507,172.02907699457614,173.28761843428865,166.51172783900384,167.53756204406204
0.0,0.0,2.9978808254387133,32.00674970329625,166.37140489313492,174.0416756183794,174.35697817931035,167.27194449041156,168.32196856939478
0.0,0.0,5.9502865519955295,31.97955905878169,163.4671840742421,172.52791021405244,173.38522142872677,165.01537710882894,166.15178119540255
0.0,125.17799199896078,7.954563035417986,52.67424907912403,166.1951493529375,174.55224328354043,170.21554653922283,162.56434261340908,162.03584071671423
0.0,126.8491468961418,9.521154718299371,50.98790755546006,172.78881466401438,177.8200131272489,171.54781931577438,174.98713459627484,170.3148045006795
0.0,118.09243571214219,2.844406359207666,59.567492535429636,158.7061694764609,169.83965896864203,170.69192025969943,153.77430925701796,155.48163720541146
0.0,120.05680566705419,5.544035460571849,57.68867441847894,158.98168746244133,169.74370608194647,171.12955067928334,156.264504256132,158.1954227316065
0.0,121.59800623879886,10.509616239195413,161.7504620028733,158.86786190393605,167.19023979583477,177.11689694981715,167.41390342505656,167.90120890979432
0.0,126.93583683537707,9.464878012699279,50.9213564580527,163.94150657110205,174.3498236113258,167.41387726596204,173.6715852430193,170.31036308794538
0.0,123.1472300781735,6.605287748446816,54.71766981706427,163.11337383066544,179.80800296254597,161.28010230012526,167.0489163896607,164.41647859395698
0.0,125.05687589296883,14.414298124883414,52.899962784752795,157.18111128331347,176.1090911362778,166.07049509560235,174.37097360699727,169.83222571100637
0.0,120.6247996410809,11.746681364445397,161.3552610788614,161.2002005069404,178.44661843406413,164.99600309993028,175.09765406037224,170.77950710532465
0.0,115.3839097196219,10.051398124220702,62.123353310763136,161.2513208452693,177.14419488722004,159.83407856770444,169.715677145856,165.722884590405
0.0,114.28963733371768,10.63746903409615,63.28327169805845,162.87872862526137,179.87042005682252,166.9868907234786,169.64803382380256,166.608511081795
0.0,0.0,6.19709035756478,31.034675715999377,160.6677784605599,178.71737197896783,170.77195303555615,178.2504129376932,175.47193266411037
0.0,0.0,8.841642733844587,30.934780730787104,156.16733996425333,179.3040542811925,172.59878073399224,175.70448731064303,173.64241874754643
0.0,0.0,4.680853140303748,30.72810852070568,160.32828215314834,178.09366324305034,169.47880841685247,172.25728769112013,168.61440822858907
0.0,0.0,6.438427065355318,30.812982060551764,153.45683026977858,179.5177256252062,176.87432977888122,170.8597962424749,170.0007541146842
0.0,0.0,12.12188303651156,30.98738389778836,143.10549557345553,175.62291648970705,176.6296700810968,165.3074313060835,166.32017425307424
0.0,0.0,17.8081249350124,31.048853659540477,144.3842549020497,175.9665403367818,176.5025268837967,163.5137684255499,163.7957977780286
0.0,0.0,19.21295377216668,30.98714272489161,145.89556220386314,176.92417247718873,176.8920464070972,161.6429551560647,161.1281898204737
0.0,0.0,5.595337925799971,30.524395464168805,137.37914107787265,175.93346283085413,176.87431064051896,161.36100757049311,161.68761408565473
0.0,0.0,15.210964298536268,30.433713977941924,93.46813926144523,175.0350716691087,176.74677156436775,160.20118337823047,160.5933171080549
0.0,102.47789796940981,15.127150573229402,78.12494926677215,102.39995048645949,179.5990258263471,179.253159207542,166.15741112537978,163.0888410607637
0.0,110.20813984986498,14.259438848146834,171.74573546327792,135.12157070155175,179.30148586531982,178.29241018649054,169.83129211266223,167.78003239660512
0.0,109.44665353770515,10.342599997106504,174.17397783355798,138.1051834576279,178.7274188376474,178.31599866437415,173.56656344979024,171.65378021412866
0.0,117.51423285095382,2.3825708849878913,60.30970943089314,160.5665621088441,178.65201179562865,175.0184439649287,171.8911652767177,170.7027048737495
0.0,135.31804064623503,8.118176661285222,42.90392567472707,172.13662540133728,178.82377987617042,174.3699883203417,174.5819389464837,172.73086463935618
0.0,131.75380275181348,3.3591939750840316,46.267652745471175,174.75403420892576,179.19381012022944,175.08882054101826,173.53094528106223,172.64099492655382
0.0,133.38823929959548,6.84394198724951,44.72728827330425,176.47941137749444,179.8958151549256,179.21242200449805,175.88061287787374,176.12139720124762
0.0,136.49608559269225,8.82559491405599,41.78806209239729,179.60342305085385,177.63797524196715,176.8518577140399,179.38749874727685,179.7828526662116
0.0,138.9690173580975,10.652342282936914,39.42512764471196,178.8581734737804,177.86640678644756,177.45565283928752,179.25561424325295,179.16299254489493
0.0,136.72068027298226,8.408902991483721,41.55458623582812,177.81692927435682,177.47272519054468,176.95673192752452,179.3086536369486,177.62332397446102
0.0,135.15047058957379,9.450793338302642,43.113499367589974,176.92557061228845,176.9386760482654,178.12521852490633,170.40243201444315,172.46988225916473
0.0,134.4417638419409,7.275661469298055,43.80720638470952,176.9913505748857,175.30829366967708,178.74939548451925,167.13498202280996,171.75443645199817
0.0,132.91000279257253,7.2545262887068,45.31181902227232,178.99944307799038,176.4071652198551,176.70882768185217,166.1862427764923,170.71914091607735
0.0,131.9944063567713,7.417036602843397,46.11983458094179,176.49814136994985,178.1412112939077,174.68532546180302,170.21509680451777,170.65538194543646
0.0,132.61682329209518,10.010866179504644,45.65132817912745,174.64891140693285,179.7211338180713,176.84051791965052,166.35135149932262,170.7551570730563
0.0,136.2837549838303,8.917359110144691,41.962291964422086,179.9560755333252,176.40051734199562,170.780016581404,170.7401824597624,169.32926316488945
0.0,134.8711353447617,7.8843701120038014,43.33723036800086,175.74155045892343,175.67538398281522,167.9302586380955,169.59553300800465,167.0619454044884
0.0,136.5169138718341,5.680510971878033,41.83958737157797,162.78402452715494,177.46489877514355,169.95827569664027,168.531460608348,165.6693424570848
0.0,135.8444241294707,4.595616882605947,42.43431965583227,175.09567842367954,179.0370041321041,165.22793286547235,169.05236633100108,165.3013862345756
0.0,123.47077905870862,5.893102722238987,54.602404429258485,167.12589844452623,178.01256005379537,171.5058053925705,170.5286110794727,167.85506642682756
0.0,126.9930827046085,7.879401812624715,51.080821541405115,165.80467113235983,178.1866231679501,165.66134967722542,173.2710631947293,168.1231045126602
0.0,0.0,6.888462410240402,31.94092427599063,138.7943962357205,176.7148340967776,176.13811317089838,171.28721142858015,170.4302840278671
0.0,127.67041189607656,9.809786333592127,154.59425651789607,165.90466893383942,172.83976828787937,173.35464369261277,173.78743964496917,169.8693052488752
0.0,0.0,3.9678233802937832,31.9038533060056,138.01320013739954,177.35005322996673,176.07707141121665,172.25134726286953,171.4457788986387
0.0,133.83681115962924,11.837097049113728,44.40293078606915,167.72907355222767,179.81409849050723,166.40166021368205,177.3787472567579,171.56091157838605
0.0,122.06602120656041,14.889996763785856,161.44473398922003,159.40279647410227,179.60179682923155,166.56711164710083,178.37358340725075,172.35245392135937
0.0,0.0,11.772767780053991,31.37771045302701,155.94967401637484,179.14527049931047,174.73342207824513,174.4769363080434,170.87847816651586
0.0,113.62023698034585,18.45074979367617,169.43341955431765,148.77454448935066,168.08244970922703,178.49881136732975,172.8577341108866,173.10651584793285
0.0,0.0,12.784056897553437,31.291100811670592,159.42066895372525,179.91362457538227,174.6963401177352,175.392825633226,171.86140061231853
0.0,136.95861910202163,3.673586703269908,41.46509655416911,166.17284475623012,179.87713561766375,166.06950803691558,173.45783487637956,168.22462703302426
0.0,0.0,11.215547565471365,31.657261015117708,163.4219221388372,179.09868667058825,178.74844956667346,177.8403169975436,175.4044088285255
0.0,0.0,1.7128229541490094,28.87449708534053,164.5901289009773,175.88257618229935,166.09565808100717,165.87679009175218,163.29794704422378
0.0,0.0,14.867302451354572,31.59567278312065,168.3767197031983,178.34411967505886,178.34745296767105,176.8507658325022,174.73428841403353
0.0,0.0,6.463154234864316,28.93552912718525,162.2520494844737,176.2890282087619,169.1227869224677,163.55437774426161,161.5707254501621
0.0,0.0,12.50900713908024,31.06805116609136,157.72998136598392,178.97224790188986,179.12129170419402,167.75624295511582,168.7704747921126
0.0,0.0,11.189663716943176,29.093397634477817,157.52991273485532,176.6715036750711,172.16432332875522,162.62104392458545,161.1306277058427
0.0,0.0,8.954584936775461,31.108009967933267,152.19001871649266,179.39204333979097,176.28812238717353,166.91684960808848,167.36602942005263
0.0,0.0,3.868500767394182,28.966133630304007,165.28516962413318,175.6874716390459,172.2781547474003,162.07927135182285,161.26488680540672
0.0,0.0,6.132083886653399,31.085029103768765,154.64342862846163,179.82935896615018,176.9720534666304,167.3236192452647,167.0534853315861
0.0,0.0,11.541143382007451,29.384553283578242,153.96072268329405,176.653506742666,176.11656943554507,162.77303166894683,161.25894020873343
0.0,0.0,3.8943337049939473,30.88721529292283,139.1377304822758,177.04871616537056,178.57134756736588,168.51034790123123,169.5840489693455
0.0,0.0,6.61231758580882,29.2114765632734,161.90803529602294,176.39313942917613,176.34894984790816,161.8534185887346,160.61468839314637
0.0,0.0,6.1184396974982995,30.74024673072387,145.32964075719394,175.69727254729415,177.10345673708173,168.1176166465514,168.8204185264236
0.0,0.0,2.308793383704783,28.943258407025066,170.13271471855677,175.5353889751413,177.63001737712156,163.68325249845023,164.44951201170474
0.0,0.0,8.491050135199398,30.741462752902958,111.04233807341228,176.56429827372776,177.6248214396497,171.74285234078067,171.15601024233047
0.0,0.0,1.4047145369649967,28.892077387864965,173.27427007595082,173.2325844445378,174.65315907780166,164.40821328454567,165.18184821955538
0.0,115.06985648491107,1.283185454420664,62.41906005139178,159.71319591057875,176.58543028643268,175.3676847775329,171.34335385058733,171.65888731948925
0.0,0.0,6.735207847802936,28.866117023018408,176.9165680661795,172.10365390938168,173.54209137965333,165.0441228841507,166.1319074285834
0.0,112.63231504916277,2.062716890777645,65.01255595653555,156.25791491680235,177.70758679889104,175.2970606015343,172.91416830751328,172.76924888844545
0.0,130.39732584459927,10.538439232274959,47.60200299609977,179.44263498018807,172.14061429954893,172.8084667109987,165.81282025919037,166.67592954572382
0.0,114.09785615149315,2.564273411069664,171.6826057721019,163.79558582582754,176.0410334331714,172.67502849170614,172.34972613146647,171.82256922582056
0.0,131.27598193041158,15.40641895835632,46.811925946345646,175.61600011656063,173.63940342560184,173.63773224689172,167.21184778534024,167.93766468435751
0.0,118.99453931763202,8.534542745304073,169.58802732929783,160.7485564185658,172.0952505893339,175.38774943250584,177.81776910386273,176.44698456986413
