class,a1,v1,a2,v2,a3,v3,a4,v4,a5,v5,a6,v6,a7,v7,a8,v8
0.0,168.1112821748296,0.64434415102005,16.491467959234967,0.9271321296691896,177.73510092175923,0.8382388949394226,131.98049533764274,0.7599225640296936,173.7736431466293,0.9915289282798768,175.91249531809478,0.9886015057563782,179.00706223869742,0.9879561066627502,179.51610355419606,0.985465943813324
0.0,164.0601923787201,0.6290571093559265,15.333876756581375,0.9368829727172852,177.79659555991043,0.8161357045173645,134.0346881675975,0.7816035151481628,172.8727322365263,0.9901288151741028,176.37270589455773,0.9888260960578918,179.22188756047024,0.9878454208374025,179.25347631337874,0.986727237701416
0.0,160.85604599785927,0.5900270938873291,13.812909797622282,0.911914050579071,177.364590559607,0.7378868460655212,127.80619751317155,0.7353620529174805,171.84348233117856,0.9772490859031676,177.15652904700934,0.9767653346061708,175.40996127194848,0.9688951969146729,179.71727931531592,0.9680382609367372
0.0,156.53494219603857,0.5774444937705994,15.220801230114244,0.9338847994804382,178.90372590659797,0.7214691042900085,129.68627743500568,0.7840881943702698,173.42017507510778,0.9771332740783693,177.68059024226574,0.9811927676200868,174.02056203575424,0.971190631389618,178.54808814984796,0.9741287231445312
0.0,156.21157526277443,0.5663037300109863,16.311818931626185,0.9418036341667176,179.7333870804173,0.6986227631568909,134.1542052405482,0.8023802638053894,174.2547752224783,0.9762167930603028,179.03361297698854,0.9828726649284364,173.59568936109494,0.9700735211372375,177.96622770336273,0.975393533706665
0.0,159.45317437842306,0.6165762543678284,18.736739536560982,0.957409679889679,173.49901603447566,0.7747392654418945,153.9265930804059,0.8382620811462402,174.74107437030298,0.9861817359924316,179.93846385060957,0.9889845848083496,171.88166746394486,0.97820383310318,176.91681443072045,0.9810407161712646
0.0,156.27400792249452,0.6219252943992615,18.00274013735721,0.975508749485016,169.09514971737028,0.8089046478271484,162.67623925127916,0.8929479122161865,176.21976401358745,0.9887678623199464,179.84665480710623,0.992300510406494,172.93694803954313,0.9808538556098938,176.98647941394978,0.9847628474235536
0.0,163.37325743986582,0.7766137719154358,12.112457221351816,0.980100393295288,177.2855807773783,0.8796312808990479,178.0382315860089,0.951728582382202,178.36010245461506,0.9871430397033693,176.58958112510098,0.9919721484184264,175.0110992774745,0.98092383146286,171.3826165493535,0.9859150052070618
0.0,168.21302232645164,0.6610047221183777,24.5524213667267,0.981394112110138,169.6455781267801,0.8746881484985352,162.29836734236275,0.920226275920868,175.1342784542088,0.992445170879364,179.8352041948,0.9944505095481871,168.63739737676275,0.9852957725524902,176.27000083937426,0.9876840710639954
0.0,175.93895206140235,0.8584913611412048,19.2884647749956,0.9805479049682616,173.69448430526006,0.951240062713623,171.67930437366232,0.9566556811332704,178.27762473087887,0.9913474917411804,179.78678350098224,0.9919183850288392,176.79626158734374,0.9838494658470154,177.2130627976101,0.9846122860908508
0.0,176.32192765591705,0.693967878818512,24.503608508532785,0.9832289814949036,177.02966819279672,0.9371986389160156,167.91206148890367,0.9261879920959472,176.9242031423655,0.9949981570243835,178.99608033765304,0.9947389960289,171.61658999628224,0.9852321743965148,177.82653366089036,0.98456209897995
0.0,179.8820922954154,0.8747537136077881,21.302639634403373,0.9831456542015076,179.98623905551744,0.9425413608551024,175.57780047127557,0.9637999534606934,178.87204165143285,0.9892730712890624,179.84501333402935,0.991394817829132,179.92279409583648,0.976336658000946,177.85660311328834,0.979688823223114
0.0,177.0914138705074,0.9478619694709778,20.38419009009888,0.9849252700805664,175.20219015330602,0.9749631881713868,171.05591881238448,0.9684645533561708,177.47844113908124,0.9944894313812256,179.11850619116706,0.9939742088317872,175.89509183364507,0.98628431558609,177.07452355508605,0.9856352806091307
0.0,176.36317163150093,0.964686393737793,20.126814975821024,0.9875161051750184,176.25054822325808,0.9753391146659852,173.11365512145954,0.9732515215873718,178.62169677011175,0.9946439266204834,177.7464080437784,0.9946069717407228,179.30949416709254,0.9833598136901855,179.44774619686632,0.9835869669914246
0.0,175.64195907654258,0.9265120625495912,20.03779717340624,0.9863734245300292,179.04752481241135,0.9582913517951964,178.88154768410175,0.9704965949058532,179.12635819665724,0.9931061863899232,179.87802556777447,0.9942185878753662,178.38558156441877,0.9839921593666076,178.714190685585,0.9860585331916808
0.0,171.05433254383257,0.8815956115722656,19.23779772307804,0.98195219039917,173.10504893013967,0.970124900341034,179.9957765393983,0.9638226628303528,179.01644606406063,0.9923518300056458,178.33223401060133,0.9916858077049256,178.90017871719226,0.9816052317619324,179.07039924329786,0.98122638463974
0.0,177.84182118217393,0.6594108939170837,16.961783527235337,0.9827964901924132,179.81507934808482,0.9229247570037842,176.64738161655816,0.9307686686515808,179.50494517056032,0.9948585629463196,178.89871843991867,0.9952547550201416,179.61829686433987,0.9881701469421388,179.0206818705538,0.9890406727790833
0.0,174.99276126923607,0.6727568507194519,23.29412814032971,0.9797630310058594,173.8519439580582,0.9271154403686525,165.883313824112,0.9059415459632874,176.65159051374178,0.995872437953949,176.08285119642596,0.9955344796180724,178.1478080565411,0.9892852902412416,178.44984939382311,0.9888253211975098
0.0,174.0093023183572,0.6962995529174805,20.9004731305471,0.9845514297485352,175.08339017025605,0.9572432041168212,169.6915200029515,0.9289805293083192,179.09904697587797,0.9978917241096495,173.7983224784363,0.9973270297050476,179.53194602904625,0.994206428527832,177.02748262951195,0.9934282302856444
0.0,173.1750053970239,0.6600661873817444,17.87410024268618,0.9852941036224364,176.10990948812903,0.9114181399345398,175.51774365553905,0.9393242001533508,179.50882107113551,0.995073139667511,176.2035715795811,0.9962570071220398,176.27212896397816,0.990904986858368,176.70189711050736,0.9923980236053468
